"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2306.27014175421,0.797880463185795,0.728814456263132,1.09476486961687,0.273619660799739,0.504258393114806
"ENSG00000000005",14.1038953827524,-0.236110479374182,0.79959057773002,-0.295289221697037,0.767772949469336,0.88524377322917
"ENSG00000000419",772.23847852515,0.84850326674981,0.321378695877532,2.64019761618906,0.00828576968767851,0.0470033240926096
"ENSG00000000457",298.832948421602,-0.582799063975653,0.393555351463563,-1.48085666173341,0.13864477372344,0.331114563199928
"ENSG00000000460",142.615488220292,1.49219308908447,0.369833112556842,4.0347741681868,5.46548387766886e-05,0.000898689832158604
"ENSG00000000938",146.432701270404,1.25514087187994,0.628486363541571,1.99708529045424,0.0458159185688327,0.159602643158659
"ENSG00000000971",1431.95197812133,-1.69392699113933,0.508530624337517,-3.33102257773772,0.000865275840735982,0.00814450182469255
"ENSG00000001036",1291.26532110447,0.020263990638223,0.426052570417898,0.0475621837425997,0.962065170903158,0.983960997299666
"ENSG00000001084",859.35885809453,0.0858956222381806,0.273569253304841,0.31398127238541,0.753535262510148,0.878220631045162
"ENSG00000001167",568.711603861201,0.147767692013423,0.386783549381041,0.382042339313271,0.702429960027277,0.846595427960138
"ENSG00000001460",184.393072550998,-0.952284139699838,0.422606424272341,-2.25335935519559,0.0242365000821241,0.102138425618701
"ENSG00000001461",724.487382953833,-0.635168308625847,0.396047401496755,-1.60376840303812,0.10876511176461,0.284017004886125
"ENSG00000001497",789.621472019896,1.06337928829304,0.356842470959256,2.9799684029608,0.00288278117413321,0.0207978100081133
"ENSG00000001561",489.306832532306,-0.707419197198015,0.33038507441486,-2.14119599213407,0.0322582361181176,0.125159416119704
"ENSG00000001617",519.050693934411,1.09190193018522,0.575142734127056,1.89848861055769,0.0576317467120689,0.186397974939204
"ENSG00000001626",2838.13565070364,-0.786126459782048,0.576027936342234,-1.36473669102568,0.17233582319135,0.380118517804555
"ENSG00000001629",790.514341277101,-0.140251054257899,0.288044872789968,-0.486906963138916,0.626324264177834,0.800885639480026
"ENSG00000001630",199.463666982011,1.39982350457531,0.368122127427626,3.80260625558436,0.00014318182379694,0.00195437240099563
"ENSG00000001631",519.092768537303,0.402978757805029,0.38049515424653,1.05909038080399,0.289558620325817,0.522781021033422
"ENSG00000002016",181.661582876102,-0.825970204592788,0.249725809572447,-3.30750836690418,0.000941298999319463,0.00871033017680123
"ENSG00000002079",3.86548111885444,3.17487222414466,1.33643457142656,2.37562862561666,0.017519085241329,0.0806778434828493
