"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2306.27014175421,0.810462876649968,0.728855868625212,1.11196590648119,0.266152809462222,0.462531839166573
"ENSG00000000005",14.1038953827524,1.05352077072657,0.777699778199938,1.35466255778682,0.175525092314333,0.349764038560802
"ENSG00000000419",772.23847852515,0.944154897413607,0.321583382291934,2.9359567359625,0.00332520695416595,0.0185243604659574
"ENSG00000000457",298.832948421602,-0.568992050500221,0.394345943585075,-1.44287537314928,0.149055581657023,0.31199926693208
"ENSG00000000460",142.615488220292,1.49033992626926,0.371064553511118,4.01638990350127,5.90964526612953e-05,0.00068012446975822
"ENSG00000000938",146.432701270404,0.557551356464954,0.630985864862927,0.883619408155957,0.376901698521638,0.575955956010737
"ENSG00000000971",1431.95197812133,0.129027384519746,0.507780320926279,0.254100797534607,0.799417687245099,0.891366247301559
"ENSG00000001036",1291.26532110447,-0.361525325108624,0.426402209087614,-0.847850497496697,0.396521236138241,0.595562256960926
"ENSG00000001084",859.35885809453,0.232162657440484,0.273762121264162,0.848045216658965,0.396412789396847,0.59552269396096
"ENSG00000001167",568.711603861201,0.124295025003301,0.387182008242317,0.321024795463923,0.748191600526812,0.859808027904781
"ENSG00000001460",184.393072550998,-0.715488688707531,0.422975555386574,-1.6915603741063,0.0907298272470491,0.220638200910932
"ENSG00000001461",724.487382953833,-0.456525377100665,0.396204189949882,-1.15224772650288,0.249219290717368,0.443275757362011
"ENSG00000001497",789.621472019896,0.675791508812779,0.35740294559556,1.89083922542012,0.0586458092224891,0.160647398194641
"ENSG00000001561",489.306832532306,-0.863892898357343,0.331333990384923,-2.60731746040823,0.00912547116991246,0.0404385158961729
"ENSG00000001617",519.050693934411,1.44895129179122,0.575125865106229,2.5193638118216,0.0117567110828826,0.0489499807939198
"ENSG00000001626",2838.13565070364,-1.23086570167611,0.576192762910865,-2.13620472332541,0.0326627306320975,0.104922803342274
"ENSG00000001629",790.514341277101,-0.589560492698575,0.28901497059185,-2.03989603545887,0.0413606817168106,0.124739905110615
"ENSG00000001630",199.463666982011,0.923343353287779,0.370424652553876,2.49266172464988,0.0126789575584247,0.0518040536634186
"ENSG00000001631",519.092768537303,-0.170445237478235,0.381660467748784,-0.446588661601771,0.655172083698076,0.798649166963835
"ENSG00000002016",181.661582876102,-0.722748493018676,0.251167027052011,-2.87756120499451,0.0040076215888478,0.0215076713060409
"ENSG00000002079",3.86548111885444,1.61600610973282,1.41276502517603,1.14386050116966,0.252681494126956,0.44704898792898
"ENSG00000002330",323.69213499328,-0.238142769433649,0.404785930747146,-0.588317802928797,0.556318998147996,0.725381600507049
"ENSG00000002549",1890.75123822908,-0.255727840269009,0.39209182406834,-0.652214161508342,0.514263025545595,0.693377794505601
"ENSG00000002586",1929.97701714526,-0.347649337234183,0.315981049260557,-1.10022211157199,0.271235358735758,0.467682836485902
"ENSG00000002587",143.566335225556,-0.190537898536801,0.36139109035336,-0.527234632017345,0.598030661725306,0.75710286577389
"ENSG00000002726",3015.34945101763,-1.32937149364167,0.44081459814834,-3.0157156755374,0.00256373537720679,0.0151908790928268
"ENSG00000002745",4.24700826232426,-3.64276130158895,1.92043029539237,-1.89684640485464,0.0578482127167418,0.159096055945392
"ENSG00000002746",8.94364582466491,-0.197240009841285,0.84872670061262,-0.232395198240982,0.816231078097583,0.900668305493581
"ENSG00000002822",369.167645414201,0.722664920067315,0.317163806677378,2.27852265880519,0.0226954560572787,0.0806238717414638
"ENSG00000002834",6348.87159627592,-0.104362857024467,0.326903276077809,-0.319246898583013,0.749539296148482,0.860542060481992
"ENSG00000002919",363.807609835345,-0.225661211272573,0.290420496409622,-0.777015445061049,0.437149658009804,0.630274563753228
"ENSG00000002933",2543.61778061242,0.263280503357471,0.761325035275743,0.34581879113185,0.729478902198286,0.847818715804763
"ENSG00000003056",1545.50702055905,0.117503722761546,0.281900909742259,0.416826334008567,0.676805439104183,0.813694073375909
"ENSG00000003096",210.857144709088,-2.97696594825602,0.926285319863968,-3.21387577284849,NA,NA
"ENSG00000003137",35.7848849100066,-1.81341700616963,0.848968288324348,-2.13602443237175,0.0326774224078186,0.104953685520559
